PRODUKT;ERSTELLT;ZAHLUNGSSTATUS;METHODE;PLAN;FAeLLIGER BETRAG;WAeHRUNG;ZAHLUNGSPLAN;ZAHLUNGSPLAN ID;CAMPAIGN-ID;LAND
Fugmann's Trading Woche;04.03.2026 21:24;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;04.03.2026 21:34;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 21:34;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 21:50;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 21:51;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 22:21;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Slowenien
Fugmann's Trading Woche;05.03.2026 00:47;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 03:22;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Zypern
Fugmann's Trading Woche;05.03.2026 04:24;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 07:24;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 07:52;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 08:03;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 08:07;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 08:49;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 08:56;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 09:02;Aktiv;Sepa;Abonnement;329,0;EUR;Jahresmitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579240;20250925GAMRK;Deutschland
Fugmann's Trading Woche;05.03.2026 10:28;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 10:32;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 10:45;Aktiv;Sepa;Abonnement;169,0;EUR;Halbjahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579237;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 10:53;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 11:19;Aktiv;Kreditkarte;Abonnement;149,0;EUR;Halbjahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);487937;20250925GAMRK;Deutschland
Fugmann's Trading Woche;05.03.2026 11:27;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;;Deutschland
Fugmann's Trading Woche;05.03.2026 11:38;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;05.03.2026 12:12;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;05.03.2026 12:23;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 12:58;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 13:10;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260305-LP2-FMWNL;Deutschland
Fugmann's Trading Woche;05.03.2026 13:21;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 13:55;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;;Deutschland
Fugmann's Trading Woche;05.03.2026 13:59;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 14:25;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 14:46;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 15:02;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 15:33;Aktiv;Kreditkarte;Abonnement;99,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579217;20250211FMWWSNV;Deutschland
Fugmann's Trading Woche;05.03.2026 17:09;Aktiv;Sepa;Abonnement;169,0;EUR;Halbjahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579237;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 18:42;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 20:00;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Tschechien
Fugmann's Trading Woche;05.03.2026 20:02;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;05.03.2026 20:13;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 20:15;Aktiv;Apple Pay;Abonnement;79,0;EUR;Quartals Mitgliedschaft;460229;20240928FMWYT;Deutschland
Fugmann's Trading Woche;05.03.2026 20:19;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 20:25;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 20:34;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 20:34;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 20:36;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 21:42;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;05.03.2026 21:46;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260305-LP2-FMWNL;Deutschland
Fugmann's Trading Woche;05.03.2026 21:47;Aktiv;Google Pay;Abonnement;99,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579217;20250211FMWWSNV;Deutschland
Fugmann's Trading Woche;05.03.2026 22:29;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;;Deutschland
Fugmann's Trading Woche;06.03.2026 01:15;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 04:44;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 05:52;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 06:37;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 06:39;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 06:46;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 06:55;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 07:03;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260305-LP2-FMWNL;Deutschland
Fugmann's Trading Woche;06.03.2026 07:14;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 07:17;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;06.03.2026 07:35;Aktiv;Google Pay;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 07:35;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 07:43;Aktiv;Sepa;Abonnement;169,0;EUR;Halbjahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579237;20260305-LP2-FMWNL;Deutschland
Fugmann's Trading Woche;06.03.2026 07:46;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 08:06;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 08:12;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 08:32;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 08:34;Aktiv;Sepa;Abonnement;329,0;EUR;Jahresmitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579240;20250211FMWWSNV;Deutschland
Fugmann's Trading Woche;06.03.2026 09:04;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;06.03.2026 09:39;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;06.03.2026 10:04;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260306-FMWWS-Banner;Deutschland
Fugmann's Trading Woche;06.03.2026 10:05;Aktiv;Kreditkarte;Abonnement;169,0;EUR;Halbjahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579237;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;06.03.2026 10:06;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;06.03.2026 10:07;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 10:14;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 10:27;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 10:33;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 10:42;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 10:57;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 11:15;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;;Deutschland
Fugmann's Trading Woche;06.03.2026 11:17;Aktiv;Google Pay;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 11:20;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 11:25;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Ungarn
Fugmann's Trading Woche;06.03.2026 11:44;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 12:45;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 13:04;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260306-FMWWS-Banner;Deutschland
Fugmann's Trading Woche;06.03.2026 13:22;Aktiv;Google Pay;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;06.03.2026 14:31;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 16:00;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;06.03.2026 16:15;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Polen
Fugmann's Trading Woche;06.03.2026 17:32;Aktiv;Google Pay;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 17:37;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 17:55;Aktiv;Vorkasse;Abonnement;79,0;EUR;Quartals Mitgliedschaft;460229;20260306-KRG;Deutschland
Fugmann's Trading Woche;06.03.2026 18:00;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 18:46;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;06.03.2026 19:39;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260306-FMWWS-Banner;Deutschland
Fugmann's Trading Woche;06.03.2026 19:40;Aktiv;Kreditkarte;Abonnement;79,0;EUR;Quartals Mitgliedschaft;460229;;Deutschland
Fugmann's Trading Woche;06.03.2026 19:49;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 19:50;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 19:54;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;06.03.2026 20:44;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;06.03.2026 21:18;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
